#detId FED harn
872427450 601 9
872427449 601 9
872427321 601 9
872427448 601 9
872427320 601 9
872427452 601 9
872427324 601 9
872427196 601 9
872427451 601 9
872427323 601 9
872427322 601 9
872427194 601 9
872427193 601 9
872427192 601 9
872427064 601 9
872427068 601 9
872426940 601 9
872427195 601 9
872427067 601 9
872426939 601 9
872427066 601 9
872426938 601 9
872427065 601 9
872426937 601 9
872426936 601 9
872428091 601 9
872428090 601 9
872428089 601 9
872428088 601 9
872427960 601 9
872427963 601 9
872427962 601 9
872427961 601 9
872427833 601 9
872427832 601 9
872427835 601 9
872427707 601 9
872427579 601 9
872427834 601 9
872427706 601 9
872428092 601 9
872427964 601 9
872427836 601 9
872427708 601 9
872427580 601 9
872427578 601 9
872427705 601 9
872427577 601 9
872427704 601 9
872427576 601 9
872424244 601 11
872423988 601 11
872424243 601 11
872424115 601 11
872423987 601 11
872423990 601 11
872424245 601 11
872424117 601 11
872423989 601 11
872424116 601 11
872424247 601 11
872424119 601 11
872423991 601 11
872424246 601 11
872424118 601 11
872423861 601 11
872423860 601 11
872423732 601 11
872423859 601 11
872423731 601 11
872423863 601 11
872423735 601 11
872423862 601 11
872423734 601 11
872423733 601 11
872424884 601 11
872424756 601 11
872424883 601 11
872424755 601 11
872424627 601 11
872424886 601 11
872424758 601 11
872424885 601 11
872424757 601 11
872424629 601 11
872424887 601 11
872424759 601 11
872424631 601 11
872424503 601 11
872424630 601 11
872424628 601 11
872424500 601 11
872424372 601 11
872424499 601 11
872424371 601 11
872424375 601 11
872424502 601 11
872424374 601 11
872424501 601 11
872424373 601 11
872425525 601 10
872425524 601 10
872425396 601 10
872425523 601 10
872425395 601 10
872425527 601 10
872425399 601 10
872425526 601 10
872425398 601 10
872425397 601 10
872425271 601 10
872425270 601 10
872425142 601 10
872425269 601 10
872425141 601 10
872425268 601 10
872425140 601 10
872425267 601 10
872425139 601 10
872425011 601 10
872425143 601 10
872425015 601 10
872425014 601 10
872425013 601 10
872425012 601 10
872426165 601 10
872426164 601 10
872426036 601 10
872426163 601 10
872426035 601 10
872426167 601 10
872426039 601 10
872425911 601 10
872426166 601 10
872426038 601 10
872426037 601 10
872425909 601 10
872425908 601 10
872425907 601 10
872425779 601 10
872425783 601 10
872425655 601 10
872425910 601 10
872425782 601 10
872425654 601 10
872425781 601 10
872425653 601 10
872425780 601 10
872425652 601 10
872425651 601 10
872426807 601 9
872426806 601 9
872426805 601 9
872426804 601 9
872426803 601 9
872426678 601 9
872426677 601 9
872426676 601 9
872426675 601 9
872426547 601 9
872426550 601 9
872426549 601 9
872426421 601 9
872426548 601 9
872426420 601 9
872426679 601 9
872426551 601 9
872426423 601 9
872426295 601 9
872426422 601 9
872426294 601 9
872426293 601 9
872426292 601 9
872426419 601 9
872426291 601 9
872427445 601 9
872427317 601 9
872427444 601 9
872427316 601 9
872427443 601 9
872427447 601 9
872427319 601 9
872427191 601 9
872427446 601 9
872427318 601 9
872427189 601 9
872427188 601 9
872427315 601 9
872427187 601 9
872427059 601 9
872427063 601 9
872426935 601 9
872427190 601 9
872427062 601 9
872426934 601 9
872427061 601 9
872426933 601 9
872427060 601 9
872426932 601 9
872426931 601 9
872428087 601 9
872428086 601 9
872428085 601 9
872428084 601 9
872428083 601 9
872427959 601 9
872427958 601 9
872427957 601 9
872427956 601 9
872427955 601 9
872427831 601 9
872427830 601 9
872427829 601 9
872427828 601 9
872427827 601 9
872427703 601 9
872427702 601 9
872427701 601 9
872427700 601 9
872427699 601 9
872427575 601 9
872427574 601 9
872427573 601 9
872427572 601 9
872427571 601 9
872423472 601 11
872423600 601 11
872423473 601 11
872423601 601 11
872423602 601 11
872423342 601 11
872423470 601 11
872423598 601 11
872423471 601 11
872423599 601 11
872423217 601 11
872423345 601 11
872423218 601 11
872423346 601 11
872423474 601 11
872423214 601 11
872423215 601 11
872423343 601 11
872423216 601 11
872423344 601 11
872423982 601 11
872424110 601 11
872424238 601 11
872424111 601 11
872424239 601 11
872423983 601 11
872423984 601 11
872424112 601 11
872424240 601 11
872424113 601 11
872423985 601 11
872424241 601 11
872423986 601 11
872424114 601 11
872424242 601 11
872423856 601 11
872423729 601 11
872423857 601 11
872423730 601 11
872423858 601 11
872423726 601 11
872423854 601 11
872423727 601 11
872423855 601 11
872423728 601 11
872424751 601 11
872424879 601 11
872424624 601 11
872424752 601 11
872424880 601 11
872424753 601 11
872424881 601 11
872424626 601 11
872424754 601 11
872424882 601 11
872424494 601 11
872424622 601 11
872424750 601 11
872424878 601 11
872424623 601 11
872424369 601 11
872424497 601 11
872424625 601 11
872424370 601 11
872424498 601 11
872424366 601 11
872424367 601 11
872424495 601 11
872424368 601 11
872424496 601 11
872425520 601 10
872425393 601 10
872425521 601 10
872425394 601 10
872425522 601 10
872425390 601 10
872425518 601 10
872425391 601 10
872425519 601 10
872425392 601 10
872425134 601 10
872425262 601 10
872425135 601 10
872425263 601 10
872425264 601 10
872425137 601 10
872425265 601 10
872425010 601 10
872425138 601 10
872425266 601 10
872425006 601 10
872425007 601 10
872425008 601 10
872425136 601 10
872425009 601 10
872426160 601 10
872426033 601 10
872426161 601 10
872426034 601 10
872426162 601 10
872425902 601 10
872426030 601 10
872426158 601 10
872426031 601 10
872426159 601 10
872425776 601 10
872425904 601 10
872426032 601 10
872425905 601 10
872425906 601 10
872425646 601 10
872425774 601 10
872425647 601 10
872425775 601 10
872425903 601 10
872425648 601 10
872425649 601 10
872425777 601 10
872425650 601 10
872425778 601 10
872426798 601 9
872426799 601 9
872426800 601 9
872426801 601 9
872426802 601 9
872426543 601 9
872426671 601 9
872426672 601 9
872426673 601 9
872426674 601 9
872426416 601 9
872426544 601 9
872426417 601 9
872426545 601 9
872426546 601 9
872426286 601 9
872426414 601 9
872426542 601 9
872426670 601 9
872426415 601 9
872426287 601 9
872426288 601 9
872426289 601 9
872426290 601 9
872426418 601 9
872427312 601 9
872427440 601 9
872427313 601 9
872427441 601 9
872427442 601 9
872427182 601 9
872427310 601 9
872427438 601 9
872427311 601 9
872427439 601 9
872427056 601 9
872427184 601 9
872427185 601 9
872427186 601 9
872427314 601 9
872426926 601 9
872427054 601 9
872426927 601 9
872427055 601 9
872427183 601 9
872426928 601 9
872426929 601 9
872427057 601 9
872426930 601 9
872427058 601 9
872428078 601 12
872428079 601 12
872428080 601 12
872428081 601 12
872428082 601 12
872427950 601 12
872427951 601 12
872427952 601 12
872427953 601 12
872427954 601 12
872427822 601 12
872427823 601 12
872427824 601 12
872427825 601 12
872427826 601 12
872427694 601 12
872427695 601 12
872427696 601 12
872427697 601 12
